datasets_path,classifier,n_jobs,random_seed,test_fraction,log_file,query_strategy,dataset_name,cluster,batch_size,plot,output_path,hyper_search_type,total_budget,amount_of_peaked_objects,plot_evolution,representative_features,stop_after_maximum_accuracy_reached,state_diff_probas,state_argsecond_probas,state_argthird_probas,state_distances_lab,state_distances_unlab,state_predicted_class,state_predicted_unity,state_distances,state_uncertainties,batch_mode,distance_metric,state_include_nr_features,pre_sampling_method,pre_sampling_arg,pre_sampling_hybrid_uncert,pre_sampling_hybrid_furthest,pre_sampling_hybrid_furthest_lab,pre_sampling_hybrid_pred_unity,amount_of_synthetic_labelling_functions,disable_fake_experiment_oracle,ws_mode,use_ws_labels_continously,andreas,andreas_number,len_train_data,synthetic_creation_args,acc_auc,cores,fit_time,acc_test,acc_test_oracle,f1_test_oracle,precision_test_oracle,recall_test_oracle,f1_auc,thread_id,end_time,amount_of_all_labels,shape,n_samples,__n_features,m_rel,m_red,m_irr,n_classes,n_clusters_per_class,mov_vectors,random_state
../datasets,RF,1,26,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,23250,"{'shape': None, 'n_samples': 46500, '__n_features': 14, 'm_rel': 10, 'm_red': 1, 'm_irr': 3, 'n_classes': 19, 'n_clusters_per_class': 1, 'mov_vectors': None, 'random_state': 97948}",0.2057225806451613,1,163.0163630526513,0.25625806451612904,0.0,0.0,0.0,0.0,0.1887336284696312,47038915399744,2021-09-10 11:41:21.993628,69,,46500,14,10,1,3,19,1,,97948
../datasets,RF,1,17,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,10650,"{'shape': None, 'n_samples': 21300, '__n_features': 53, 'm_rel': 33, 'm_red': 9, 'm_irr': 11, 'n_classes': 11, 'n_clusters_per_class': 3, 'mov_vectors': None, 'random_state': 68417}",0.12028169014084508,1,80.7334290780127,0.13953051643192488,0.0,0.0,0.0,0.0,0.09228315263545689,47158593306688,2021-09-10 11:42:05.626325,61,,21300,53,33,9,11,11,3,,68417
../datasets,RF,1,7,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,24300,"{'shape': None, 'n_samples': 48600, '__n_features': 11, 'm_rel': 8, 'm_red': 1, 'm_irr': 2, 'n_classes': 3, 'n_clusters_per_class': 2, 'mov_vectors': None, 'random_state': 42445}",0.5459876543209876,1,92.62556156888604,0.6192592592592593,0.0,0.0,0.0,0.0,0.5353010187700782,47772531552320,2021-09-10 11:42:20.329555,53,,48600,11,8,1,2,3,2,,42445
../datasets,RF,1,27,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,12325,"{'shape': None, 'n_samples': 24650, '__n_features': 46, 'm_rel': 38, 'm_red': 4, 'm_irr': 4, 'n_classes': 8, 'n_clusters_per_class': 2, 'mov_vectors': None, 'random_state': 84999}",0.19962271805273835,1,79.2309939302504,0.24073022312373224,0.0,0.0,0.0,0.0,0.17534553009808881,47191703638080,2021-09-10 11:42:52.068060,58,,24650,46,38,4,4,8,2,,84999
../datasets,RF,1,18,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,3175,"{'shape': None, 'n_samples': 6350, '__n_features': 44, 'm_rel': 32, 'm_red': 7, 'm_irr': 5, 'n_classes': 9, 'n_clusters_per_class': 4, 'mov_vectors': None, 'random_state': 23758}",0.1548976377952756,1,47.30100168287754,0.18425196850393702,0.0,0.0,0.0,0.0,0.12057220333913024,47267582877760,2021-09-10 11:43:04.582303,59,,6350,44,32,7,5,9,4,,23758
../datasets,RF,1,8,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,9525,"{'shape': None, 'n_samples': 19050, '__n_features': 26, 'm_rel': 21, 'm_red': 2, 'm_irr': 3, 'n_classes': 3, 'n_clusters_per_class': 2, 'mov_vectors': None, 'random_state': 29714}",0.49779527559055115,1,58.18272602930665,0.5808923884514435,0.0,0.0,0.0,0.0,0.4830538195996478,47121350733888,2021-09-10 11:43:29.478720,53,,19050,26,21,2,3,3,2,,29714
../datasets,RF,1,19,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,1150,"{'shape': None, 'n_samples': 2300, '__n_features': 52, 'm_rel': 33, 'm_red': 16, 'm_irr': 3, 'n_classes': 18, 'n_clusters_per_class': 4, 'mov_vectors': None, 'random_state': 88752}",0.07608695652173914,1,43.22800887003541,0.08347826086956522,0.0,0.0,0.0,0.0,0.05174720801480666,47462411841600,2021-09-10 11:43:55.513442,68,,2300,52,33,16,3,18,4,,88752
../datasets,RF,1,28,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,19050,"{'shape': None, 'n_samples': 38100, '__n_features': 10, 'm_rel': 6, 'm_red': 2, 'm_irr': 2, 'n_classes': 7, 'n_clusters_per_class': 4, 'mov_vectors': None, 'random_state': 14805}",0.2635643044619423,1,98.35992140881717,0.3195800524934383,0.0,0.0,0.0,0.0,0.24031620114044122,47183943430208,2021-09-10 11:44:41.416285,57,,38100,10,6,2,2,7,4,,14805
../datasets,RF,1,9,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,15725,"{'shape': None, 'n_samples': 31450, '__n_features': 25, 'm_rel': 19, 'm_red': 4, 'm_irr': 2, 'n_classes': 7, 'n_clusters_per_class': 1, 'mov_vectors': None, 'random_state': 60687}",0.3751224165341812,1,88.4368154592812,0.4632114467408585,0.0,0.0,0.0,0.0,0.35411094648396546,47247985721408,2021-09-10 11:45:09.618171,57,,31450,25,19,4,2,7,1,,60687
../datasets,RF,1,29,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,1975,"{'shape': None, 'n_samples': 3950, '__n_features': 24, 'm_rel': 19, 'm_red': 4, 'm_irr': 1, 'n_classes': 18, 'n_clusters_per_class': 6, 'mov_vectors': None, 'random_state': 71843}",0.08275949367088606,1,46.03111934103072,0.08759493670886076,0.0,0.0,0.0,0.0,0.06116867912735591,46965719711808,2021-09-10 11:45:38.098496,68,,3950,24,19,4,1,18,6,,71843
../datasets,RF,1,30,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,20725,"{'shape': None, 'n_samples': 41450, '__n_features': 20, 'm_rel': 16, 'm_red': 4, 'm_irr': 0, 'n_classes': 8, 'n_clusters_per_class': 5, 'mov_vectors': None, 'random_state': 70658}",0.16960193003618818,1,128.54577841982245,0.20921592279855247,0.0,0.0,0.0,0.0,0.15268175112015595,47871998558272,2021-09-10 11:46:49.414630,58,,41450,20,16,4,0,8,5,,70658
../datasets,RF,1,31,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,12050,"{'shape': None, 'n_samples': 24100, '__n_features': 9, 'm_rel': 8, 'm_red': 1, 'm_irr': 0, 'n_classes': 3, 'n_clusters_per_class': 3, 'mov_vectors': None, 'random_state': 1609}",0.460195020746888,1,71.94327665492892,0.5487966804979253,0.0,0.0,0.0,0.0,0.437071878237282,47737037803584,2021-09-10 11:48:15.539479,53,,24100,9,8,1,0,3,3,,1609
../datasets,RF,1,32,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,23750,"{'shape': None, 'n_samples': 47500, '__n_features': 15, 'm_rel': 12, 'm_red': 1, 'm_irr': 2, 'n_classes': 9, 'n_clusters_per_class': 8, 'mov_vectors': None, 'random_state': 10147}",0.1377157894736842,1,146.9438743069768,0.14976842105263158,0.0,0.0,0.0,0.0,0.1033021933284958,47833995325504,2021-09-10 11:50:56.777351,59,,47500,15,12,1,2,9,8,,10147
../datasets,RF,1,40,0.5,log.txt,trained_nn,synthetic,dummy,5,False,/scratch/ws/1/s5968580-practicAL/exp_results/andreas_0/,random,50.0,20,False,False,False,False,True,True,True,True,False,False,False,False,False,euclidean,False,random,10,0.2,0.2,0.2,0.2,5,False,False,False,ML_DATASET,0,14875,"{'shape': None, 'n_samples': 29750, '__n_features': 58, 'm_rel': 41, 'm_red': 16, 'm_irr': 1, 'n_classes': 9, 'n_clusters_per_class': 5, 'mov_vectors': None, 'random_state': 60110}",0.12571764705882355,1,100.96920732036233,0.1305546218487395,0.0,0.0,0.0,0.0,0.10264116483534709,47330328719424,2021-09-10 11:51:30.999209,59,,29750,58,41,16,1,9,5,,60110
