dataset_id,strategy_id,dataset_random_seed,strategy,duration,f1_auc,n_samples,n_features,n_informative,n_redundant,n_repeated,n_classes,n_clusters_per_class,weights,flip_y,class_sep,hypercube,scale,random_state
15,14,42,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},112.17361827404238,0.5626393056201913,400,4097,4097,0,0,40,?,?,?,?,?,?,42
15,14,49,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},117.6030956080649,0.5362166348201491,400,4097,4097,0,0,40,?,?,?,?,?,?,49
15,14,47,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},121.26746802288108,0.5786532325808714,400,4097,4097,0,0,40,?,?,?,?,?,?,47
15,14,48,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},122.38289784500375,0.5715789708172693,400,4097,4097,0,0,40,?,?,?,?,?,?,48
15,14,46,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},123.59298789105378,0.5705334160071868,400,4097,4097,0,0,40,?,?,?,?,?,?,46
15,14,45,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},123.58590089296922,0.5776384144622148,400,4097,4097,0,0,40,?,?,?,?,?,?,45
0,14,0,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},42.020006665959954,0.5197537353645587,3255,99,26,41,30,8,1,"[0.07466673467133313, 0.052267443149121795, 0.09847033937126529, 0.054588511736913224, 0.21090328297211086, 0.31442239080517126, 0.04587009260374479, 0.14881120469033962]",0.014569381189620938,2.5891675029296337,False,0.01,0
15,14,51,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},111.66665739193559,0.5871774147881192,400,4097,4097,0,0,40,?,?,?,?,?,?,51
15,14,52,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},106.5799252979923,0.6036756082486833,400,4097,4097,0,0,40,?,?,?,?,?,?,52
15,14,66,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},114.12669638590887,0.572545251905817,400,4097,4097,0,0,40,?,?,?,?,?,?,66
15,14,60,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},114.88692266400903,0.5812616167350881,400,4097,4097,0,0,40,?,?,?,?,?,?,60
15,14,54,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},115.2003916669637,0.5693673951101246,400,4097,4097,0,0,40,?,?,?,?,?,?,54
15,14,63,<class 'active_learning.ALiPy_optimal_Query_Strategy.ALiPY_Optimal_Query_Strategy'>{},115.4365638839081,0.5648709637609851,400,4097,4097,0,0,40,?,?,?,?,?,?,63
